text,primary_emotion,secondary_emotion
I cannot complete my Machine Learning assignment while reading textbooks.,Frustrated,
I enjoy asking questions about AWS while debugging.,Curious,
I feel comfortable learning Android Development while completing homework.,Confident,
I solved all the problems in Software Engineering while studying late at night.,Confident,
I keep getting errors while learning Streamlit while preparing notes while i can debug streamlit programs easily while preparing notes.,Frustrated,Confident
I enjoy experimenting with Cyber Security while completing homework but i feel lazy whenever i open cyber security while completing homework.,Curious,Bored
I want to become an expert in NLP while solving assignments.,Curious,
I completed my Azure assignment successfully while preparing for interviews however i want to explore research in azure while preparing for interviews.,Confident,Curious
I can answer any question related to Azure while solving previous papers.,Confident,
I feel comfortable learning JavaScript while studying late at night because i want to explore research in javascript while studying late at night.,Confident,Curious
I am frustrated with C++ while preparing for interviews.,Frustrated,
I cannot differentiate the concepts in Computer Vision during lab sessions.,Confused,
I feel sleepy while studying JavaScript while practicing coding at the same time i don't know how to solve javascript while practicing coding.,Bored,Confused
I keep getting errors while learning Calculus during online classes.,Frustrated,
I don't know how to solve Data Structures while solving assignments.,Confused,
I don't know how to start learning Kubernetes while completing homework.,Confused,
I keep getting confused whenever I study Computer Vision while writing code.,Confused,
I don't understand GitHub while building projects.,Confused,
I feel exhausted attending Chemistry lectures while preparing notes.,Bored,
I feel lazy whenever I open Computer Vision while studying late at night.,Bored,
I am interested in advanced Cyber Security concepts while building projects.,Curious,
I love reading about Python while solving assignments.,Curious,
I don't understand the syntax of Computer Vision during online classes however i want to learn real-world applications of computer vision during online classes.,Confused,Curious
I believe I have mastered Linear Algebra while solving previous papers.,Confident,
I scored excellent marks in IoT while writing code.,Confident,
I feel bored while studying Physics while preparing notes.,Bored,
I can debug GitHub programs easily while preparing notes but i am stressed because of github while preparing notes.,Confident,Frustrated
I built a complete application using Software Engineering while studying late at night but i am excited to study software engineering while studying late at night.,Confident,Curious
I scored excellent marks in Deep Learning while solving previous papers yet i enjoy experimenting with deep learning while solving previous papers.,Confident,Curious
I lose confidence every time I study IoT during online classes.,Frustrated,
I don't enjoy practicing JavaScript during online classes.,Bored,
I can solve difficult Digital Electronics questions before exams but i enjoy experimenting with digital electronics before exams.,Confident,Curious
I am excited to study AWS during online classes.,Curious,
I understand Data Structures very well while solving previous papers yet i enjoy asking questions about data structures while solving previous papers.,Confident,Curious
I hate working on Machine Learning while solving previous papers at the same time i built a complete application using machine learning while solving previous papers.,Frustrated,Confident
I can complete React tasks without help while completing homework and i enjoy experimenting with react while completing homework.,Confident,Curious
I want to understand every concept of Algorithms before exams.,Curious,
I keep getting errors while learning NLP while writing code.,Frustrated,
I wish C++ was more interesting while solving assignments.,Bored,
I don't enjoy learning Operating Systems anymore while preparing for interviews.,Bored,
I get bored reading Operating Systems books while debugging while i always fail in operating systems while debugging.,Bored,Frustrated
I spent hours studying React but still failed during lab sessions.,Frustrated,
I can complete SQL tasks without help while studying late at night but i enjoy experimenting with sql while studying late at night.,Confident,Curious
I want to learn real-world applications of MySQL while solving assignments.,Curious,
I feel lazy whenever I open Cloud Computing while preparing notes.,Bored,
I can debug Android Development programs easily during online classes.,Confident,
I feel lazy whenever I open JavaScript while solving assignments.,Bored,
I spent hours studying Cloud Computing but still failed before exams even though i can solve difficult cloud computing questions before exams.,Frustrated,Confident
I scored excellent marks in MySQL while preparing for interviews yet i feel mentally tired because of mysql while preparing for interviews.,Confident,Frustrated
I want to participate in competitions related to Blockchain while debugging but i don't feel excited about blockchain while debugging.,Curious,Bored
I am improving continuously in SQL while solving assignments.,Confident,
I get confused every time I practice JavaScript while debugging.,Confused,
I want to explore research in Operating Systems during lab sessions but i don't know where i am making mistakes in operating systems during lab sessions.,Curious,Confused
I always get confused between similar topics in Statistics during lab sessions.,Confused,
I don't know where I am making mistakes in C while preparing for interviews.,Confused,
I always fail in Blockchain before exams.,Frustrated,
I enjoy experimenting with Software Engineering before exams while i find software engineering extremely difficult before exams.,Curious,Confused
I feel comfortable learning Flutter while attending lectures.,Confident,
I cannot differentiate the concepts in Ethical Hacking during online classes.,Confused,
I cannot understand the examples of Statistics while attending lectures.,Confused,
I always fail in Computer Networks during online classes because i solved all the problems in computer networks during online classes.,Frustrated,Confident
I don't know how to solve Ethical Hacking while solving previous papers.,Confused,
I feel like giving up on Streamlit while writing code while i can solve difficult streamlit questions while writing code.,Frustrated,Confident
I cannot understand the examples of MySQL while studying late at night.,Confused,
I cannot understand the examples of Computer Networks while solving previous papers.,Confused,
I built a complete application using DBMS while studying late at night.,Confident,
I can teach Linux to my friends while writing code.,Confident,
I cannot solve even simple problems in Physics while studying late at night.,Frustrated,
I understand Computer Architecture very well while completing homework.,Confident,
I want to become an expert in Biology while practicing coding even though i get bored reading biology books while practicing coding.,Curious,Bored
I get bored reading Computer Vision books while attending lectures.,Bored,
I don't know how to start learning HTML during lab sessions.,Confused,
I want to improve my knowledge in Algorithms while preparing notes.,Curious,
I cannot stay engaged while learning Streamlit before exams.,Bored,
I enjoy asking questions about Discrete Mathematics while writing code at the same time i can complete discrete mathematics tasks without help while writing code.,Curious,Confident
I enjoy exploring new ideas in Computer Vision while debugging but i feel prepared for my computer vision exam while debugging.,Curious,Confident
I feel like giving up on Computer Networks while studying late at night while i understand computer networks very well while studying late at night.,Frustrated,Confident
I am confident in Algorithms while practicing coding.,Confident,
I find Statistics extremely difficult during online classes.,Confused,
I feel prepared for my Physics exam while solving assignments while i am frustrated with physics while solving assignments.,Confident,Frustrated
I cannot differentiate the concepts in Cyber Security while attending lectures at the same time i enjoy asking questions about cyber security while attending lectures.,Confused,Curious
I keep forgetting the concepts of Statistics while studying late at night because i cannot solve even simple problems in statistics while studying late at night.,Confused,Frustrated
I enjoy exploring new ideas in Artificial Intelligence while studying late at night but i built a complete application using artificial intelligence while studying late at night.,Curious,Confident
I lose confidence every time I study Mathematics while preparing for interviews.,Frustrated,
I love reading about MySQL while debugging because i am confused about mysql while debugging.,Curious,Confused
I feel completely lost while studying Streamlit before exams yet i spent hours studying streamlit but still failed before exams.,Confused,Frustrated
I want to build projects using Machine Learning while debugging although i don't understand machine learning while debugging.,Curious,Confused
I feel lazy whenever I open Streamlit while preparing for interviews.,Bored,
I feel comfortable learning CSS while solving assignments.,Confident,
I am confident in Chemistry while preparing notes.,Confident,
I keep getting distracted during Cloud Computing while building projects.,Bored,
I feel bored while studying Linear Algebra during online classes.,Bored,
I keep getting distracted during Statistics while reading textbooks.,Bored,
I don't like solving MongoDB problems anymore while reading textbooks.,Bored,
I don't feel motivated to study C while solving assignments.,Bored,
I always get confused between similar topics in NLP while completing homework however i worked very hard but still don't understand nlp while completing homework.,Confused,Frustrated
I want to participate in competitions related to Computer Architecture during lab sessions.,Curious,
I cannot solve even simple problems in Operating Systems during lab sessions.,Frustrated,
I built a complete application using Node.js while debugging yet i want to learn real-world applications of node.js while debugging.,Confident,Curious
I lose my attention quickly in JavaScript while preparing for interviews at the same time i don't understand the syntax of javascript while preparing for interviews.,Bored,Confused
I get bored reading Computer Networks books while practicing coding.,Bored,
I keep getting errors while learning Android Development while debugging.,Frustrated,
I am interested in advanced AWS concepts while reading textbooks.,Curious,
I don't enjoy practicing Cloud Computing while completing homework.,Bored,
I enjoy solving advanced C problems while preparing for interviews.,Confident,
I understand MongoDB very well before exams even though i like discovering new topics in mongodb before exams.,Confident,Curious
I completed my Cloud Computing assignment successfully while practicing coding.,Confident,
I enjoy helping others understand React while practicing coding.,Confident,
I want to learn real-world applications of Node.js while preparing notes but i completed my node.js assignment successfully while preparing notes.,Curious,Confident
I keep forgetting the concepts of Computer Architecture while solving assignments although i am frustrated with computer architecture while solving assignments.,Confused,Frustrated
I don't understand the syntax of HTML while writing code.,Confused,
I enjoy experimenting with Git during online classes.,Curious,
I cannot stay engaged while learning Operating Systems while studying late at night.,Bored,
I can debug DBMS programs easily while attending lectures.,Confident,
I cannot understand the logic behind HTML before exams.,Confused,
I feel bored while studying MySQL while reading textbooks.,Bored,
I cannot concentrate while learning Linear Algebra while practicing coding at the same time i keep getting errors while learning linear algebra while practicing coding.,Bored,Frustrated
I enjoy solving advanced Deep Learning problems during lab sessions.,Confident,
I solved all the problems in Python during online classes.,Confident,
I completed my Chemistry assignment successfully during lab sessions and i lose confidence every time i study chemistry during lab sessions.,Confident,Frustrated
I keep getting confused whenever I study Data Science while preparing for interviews however i want to learn real-world applications of data science while preparing for interviews.,Confused,Curious
I am confident in Flutter while solving previous papers.,Confident,
I solved all the problems in JavaScript before exams.,Confident,
I solved all the problems in Flutter during lab sessions.,Confident,
I don't know where I am making mistakes in JavaScript while studying late at night.,Confused,
I can complete Computer Vision tasks without help while attending lectures.,Confident,
I enjoy exploring new ideas in Linux while solving assignments.,Curious,
I lose confidence every time I study Computer Architecture while debugging.,Frustrated,
I want to explore research in C while solving assignments.,Curious,
I am interested in advanced Computer Architecture concepts during online classes.,Curious,
I believe I have mastered Git while solving previous papers.,Confident,
I am improving continuously in Data Science while practicing coding.,Confident,
I enjoy solving advanced Physics problems while debugging.,Confident,
I don't enjoy practicing Deep Learning while preparing notes.,Bored,
I feel bored while studying Node.js during lab sessions.,Bored,
I don't like solving Python problems anymore while building projects.,Bored,
I wish Artificial Intelligence was more interesting while studying late at night.,Bored,
I want to learn beyond my syllabus in Java while solving assignments.,Curious,
I feel lazy whenever I open Computer Vision while solving previous papers.,Bored,
I enjoy asking questions about Algorithms during lab sessions.,Curious,
I want to become an expert in Computer Vision while solving assignments.,Curious,
I feel mentally tired because of MySQL while preparing for interviews.,Frustrated,
I hate working on Biology during lab sessions but i enjoy helping others understand biology during lab sessions.,Frustrated,Confident
I practice Docker every day before exams.,Confident,
I keep failing while practicing Blockchain while preparing for interviews.,Frustrated,
I can answer any question related to Docker while building projects.,Confident,
I keep getting errors while learning Git while preparing notes.,Frustrated,
I am frustrated with C++ during lab sessions.,Frustrated,
I find Python extremely difficult while preparing notes.,Confused,
I feel prepared for my CSS exam while solving previous papers.,Confident,
I want to know more about Kubernetes while attending lectures.,Curious,
I am improving continuously in Deep Learning while writing code.,Confident,
I keep failing while practicing Git during lab sessions.,Frustrated,
I feel completely lost while studying Flutter while completing homework.,Confused,
I cannot understand the logic behind Linear Algebra while writing code however i worked very hard but still don't understand linear algebra while writing code.,Confused,Frustrated
I lose interest in Mathematics while practicing coding.,Bored,
I want to learn beyond my syllabus in Deep Learning while attending lectures even though i solved all coding challenges in deep learning while attending lectures.,Curious,Confident
I cannot stay engaged while learning SQL while solving previous papers while i don't know how to solve sql while solving previous papers.,Bored,Confused
I want to improve my knowledge in Android Development while writing code and i can answer any question related to android development while writing code.,Curious,Confident
I want to become an expert in Cyber Security while studying late at night.,Curious,
I feel bored while studying MongoDB before exams.,Bored,
I am excited to study MySQL while solving assignments because i cannot stay focused during mysql while solving assignments.,Curious,Bored
I enjoy solving difficult problems in Kubernetes before exams while i feel sleepy while studying kubernetes before exams.,Curious,Bored
I feel mentally tired because of Data Structures while building projects.,Frustrated,
I wish CSS was more interesting while building projects.,Bored,
I don't understand why my solution is wrong in Computer Networks during lab sessions even though i am exhausted after practicing computer networks during lab sessions.,Confused,Frustrated
I feel lazy whenever I open Calculus while reading textbooks while i feel completely lost while studying calculus while reading textbooks.,Bored,Confused
I completed my GitHub assignment successfully while solving previous papers.,Confident,
I feel lazy whenever I open Operating Systems while studying late at night.,Bored,
I feel completely lost while studying C while building projects while i keep making the same mistakes in c while building projects.,Confused,Frustrated
I feel completely lost while studying Blockchain before exams even though i don't know why blockchain is so difficult before exams.,Confused,Frustrated
I am improving continuously in Data Science before exams.,Confident,
I want to participate in competitions related to Digital Electronics while preparing for interviews even though i don't know where i am making mistakes in digital electronics while preparing for interviews.,Curious,Confused
I enjoy asking questions about Biology while writing code while i cannot stay focused during biology while writing code.,Curious,Bored
I get bored reading CSS books while practicing coding.,Bored,
I can debug GitHub programs easily while studying late at night.,Confident,
I don't understand the syntax of Docker before exams.,Confused,
I solved all the problems in HTML during lab sessions.,Confident,
I want to build projects using Mathematics while debugging.,Curious,
I lose interest in HTML while preparing for interviews.,Bored,
I can teach SQL to my friends while solving previous papers.,Confident,
I want to build innovative solutions using Chemistry before exams at the same time i cannot differentiate the concepts in chemistry before exams.,Curious,Confused
I want to participate in competitions related to MySQL during online classes.,Curious,
I don't feel motivated to study JavaScript while debugging.,Bored,
I solved all coding challenges in Computer Architecture while solving assignments.,Confident,
I get bored reading Blockchain books while completing homework because i am stressed because of blockchain while completing homework.,Bored,Frustrated
I feel mentally tired because of Streamlit while solving assignments.,Frustrated,
I cannot finish my project using Streamlit while studying late at night.,Frustrated,
I don't know why MySQL is so difficult while building projects.,Frustrated,
I worked very hard but still don't understand Blockchain before exams.,Frustrated,
I keep making the same mistakes in Azure while completing homework.,Frustrated,
I keep forgetting the concepts of Discrete Mathematics while studying late at night however i keep making the same mistakes in discrete mathematics while studying late at night.,Confused,Frustrated
I spent hours studying Data Structures but still failed before exams yet i practice data structures every day before exams.,Frustrated,Confident
I don't know which approach to use in Machine Learning while reading textbooks because i feel disappointed with my performance in machine learning while reading textbooks.,Confused,Frustrated
I cannot concentrate while learning Blockchain while solving previous papers yet i don't know why blockchain is so difficult while solving previous papers.,Bored,Frustrated
I postpone studying Computer Vision because it feels boring while building projects yet i keep making the same mistakes in computer vision while building projects.,Bored,Frustrated
I enjoy solving advanced Physics problems while solving assignments at the same time i keep making the same mistakes in physics while solving assignments.,Confident,Frustrated
I enjoy solving difficult problems in Digital Electronics while solving previous papers.,Curious,
I feel exhausted attending Artificial Intelligence lectures while debugging.,Bored,
I am confident in C++ while completing homework.,Confident,
I don't know how to start learning Computer Vision while practicing coding at the same time i want to know more about computer vision while practicing coding.,Confused,Curious
I cannot solve even simple problems in CSS while completing homework.,Frustrated,
I completed my project using Docker successfully while debugging even though i want to understand every concept of docker while debugging.,Confident,Curious
I feel lazy whenever I open CSS while attending lectures.,Bored,
I don't enjoy practicing C++ while writing code.,Bored,
I enjoy asking questions about Blockchain while preparing for interviews but i keep forgetting the concepts of blockchain while preparing for interviews.,Curious,Confused
I scored excellent marks in C++ before exams yet i keep making the same mistakes in c++ before exams.,Confident,Frustrated
I practice Linux every day during online classes.,Confident,
I lose interest in Android Development while solving assignments.,Bored,
I get bored reading Blockchain books while preparing notes and i feel overwhelmed while studying blockchain while preparing notes.,Bored,Frustrated
I feel bored while studying IoT while solving previous papers.,Bored,
I don't understand the syntax of MySQL before exams.,Confused,
I don't know how to start learning Linux while solving previous papers.,Confused,
I get bored reading IoT books while attending lectures.,Bored,
I understand Git very well while solving assignments.,Confident,
I get confused every time I practice MongoDB while completing homework.,Confused,
I understand DBMS very well while building projects.,Confident,
I want to explore research in Git while practicing coding even though i am confident in git while practicing coding.,Curious,Confident
I can answer any question related to Docker while reading textbooks.,Confident,
I don't know how to solve Digital Electronics while building projects.,Confused,
I don't understand why my solution is wrong in Data Science while attending lectures even though i want to learn beyond my syllabus in data science while attending lectures.,Confused,Curious
I don't know where I am making mistakes in Operating Systems while writing code.,Confused,
I enjoy learning Digital Electronics while reading textbooks although i completed my project using digital electronics successfully while reading textbooks.,Curious,Confident
I can debug Compiler Design programs easily while building projects.,Confident,
I am stressed because of DBMS while preparing notes.,Frustrated,
I can solve difficult Computer Vision questions while building projects.,Confident,
I love reading about Android Development while writing code.,Curious,
I want to learn beyond my syllabus in Computer Networks during lab sessions.,Curious,
I find Mathematics repetitive while solving previous papers.,Bored,
I don't feel excited about MongoDB while practicing coding however i am exhausted after practicing mongodb while practicing coding.,Bored,Frustrated
I keep forgetting the concepts of Chemistry during online classes but i am exhausted after practicing chemistry during online classes.,Confused,Frustrated
I can solve difficult IoT questions during lab sessions.,Confident,
I can debug Blockchain programs easily while attending lectures.,Confident,
I can answer any question related to React while solving previous papers yet i cannot solve even simple problems in react while solving previous papers.,Confident,Frustrated
I enjoy asking questions about Biology while preparing notes although i get confused every time i practice biology while preparing notes.,Curious,Confused
I read the topic many times but still don't understand C++ during online classes.,Confused,
I keep failing while practicing Machine Learning while practicing coding however i completed my project using machine learning successfully while practicing coding.,Frustrated,Confident
I want to understand every concept of Kubernetes during online classes.,Curious,
I am not interested in Linear Algebra anymore while building projects however i cannot differentiate the concepts in linear algebra while building projects.,Bored,Confused
I cannot complete my React assignment while solving assignments but i solved all coding challenges in react while solving assignments.,Frustrated,Confident
I am unable to understand Calculus while preparing notes.,Confused,
I want to become an expert in Java while writing code.,Curious,
I am excited to study Software Engineering while writing code.,Curious,
I lose my attention quickly in Java while building projects.,Bored,
I don't feel motivated to study Compiler Design while preparing notes at the same time i don't understand the syntax of compiler design while preparing notes.,Bored,Confused
I am excited to study Operating Systems while preparing notes yet i cannot concentrate while learning operating systems while preparing notes.,Curious,Bored
I don't know why Physics is so difficult while studying late at night.,Frustrated,
I cannot concentrate while learning MongoDB while reading textbooks however i keep asking questions because mongodb confuses me while reading textbooks.,Bored,Confused
I find DBMS repetitive during online classes.,Bored,
I want to learn beyond my syllabus in Cyber Security during lab sessions.,Curious,
I cannot understand the logic behind Operating Systems while attending lectures.,Confused,
I enjoy solving advanced Kubernetes problems while building projects.,Confident,
I am excited to study Streamlit before exams even though i cannot differentiate the concepts in streamlit before exams.,Curious,Confused
I feel prepared for my DBMS exam while solving assignments.,Confident,
I can debug React programs easily while solving assignments at the same time i cannot solve even simple problems in react while solving assignments.,Confident,Frustrated
I enjoy experimenting with Cyber Security while attending lectures because i feel comfortable learning cyber security while attending lectures.,Curious,Confident
I cannot understand the examples of Python while solving previous papers.,Confused,
I keep getting errors while learning MySQL while practicing coding.,Frustrated,
I enjoy exploring new ideas in Computer Vision during online classes.,Curious,
I lose interest in Statistics while debugging.,Bored,
I want to build innovative solutions using Linear Algebra during online classes while i can complete linear algebra tasks without help during online classes.,Curious,Confident
I don't enjoy practicing Operating Systems while practicing coding and i get confused every time i practice operating systems while practicing coding.,Bored,Confused
I love reading about Statistics while attending lectures while i can debug statistics programs easily while attending lectures.,Curious,Confident
I keep failing while practicing NLP while attending lectures.,Frustrated,
I solved all coding challenges in Node.js before exams because i cannot finish my project using node.js before exams.,Confident,Frustrated
I want to build innovative solutions using SQL while reading textbooks but i am improving continuously in sql while reading textbooks.,Curious,Confident
I want to build innovative solutions using Algorithms while preparing for interviews.,Curious,
I want to build innovative solutions using Flutter while reading textbooks.,Curious,
I can teach Computer Architecture to my friends while practicing coding.,Confident,
I enjoy experimenting with Linux while completing homework.,Curious,
I want to learn real-world applications of CSS while studying late at night.,Curious,
I don't understand Data Structures before exams.,Confused,
I practice Deep Learning every day while preparing for interviews.,Confident,
I want to build innovative solutions using Node.js during lab sessions.,Curious,
I always get confused between similar topics in Flutter while completing homework.,Confused,
I keep asking questions because Data Structures confuses me while preparing notes but i am exhausted after practicing data structures while preparing notes.,Confused,Frustrated
I am exhausted after practicing Node.js during online classes.,Frustrated,
I can solve difficult IoT questions while studying late at night.,Confident,
I keep forgetting the concepts of IoT during lab sessions and i enjoy experimenting with iot during lab sessions.,Confused,Curious
I don't know how to solve MySQL while preparing for interviews.,Confused,
I love reading about C while solving assignments but i feel comfortable learning c while solving assignments.,Curious,Confident
I can complete Data Structures tasks without help while reading textbooks.,Confident,
I keep asking questions because Ethical Hacking confuses me while preparing notes.,Confused,
I want to know more about Cloud Computing while studying late at night at the same time i understand cloud computing very well while studying late at night.,Curious,Confident
I feel sleepy while studying Discrete Mathematics while studying late at night.,Bored,
I am interested in advanced DBMS concepts while studying late at night at the same time i solved all coding challenges in dbms while studying late at night.,Curious,Confident
I can answer any question related to Statistics while practicing coding.,Confident,
I don't understand why my solution is wrong in Streamlit while completing homework because i want to understand every concept of streamlit while completing homework.,Confused,Curious
I completed my project using SQL successfully while solving previous papers.,Confident,
I want to master Streamlit while preparing notes.,Curious,
I enjoy asking questions about Ethical Hacking during lab sessions at the same time i read the topic many times but still don't understand ethical hacking during lab sessions.,Curious,Confused
