text,Bored,Confident,Confused,Curious,Frustrated
I keep getting confused whenever I study Python while solving assignments although i am excited to study python while solving assignments.,0,0,1,1,0
I keep making the same mistakes in Docker during online classes although i scored excellent marks in docker during online classes.,0,1,0,0,1
I lose interest in Blockchain while preparing for interviews although i don't know which approach to use in blockchain while preparing for interviews.,1,0,1,0,0
I cannot solve even simple problems in Computer Networks while preparing for interviews.,0,0,0,0,1
I want to improve my knowledge in Kubernetes while studying late at night.,0,0,0,1,0
I find HTML extremely difficult while completing homework.,0,0,1,0,0
I wish Physics was more interesting while completing homework but i am unable to understand physics while completing homework.,1,0,1,0,0
I am excited to study MongoDB while completing homework while i am unable to understand mongodb while completing homework.,0,0,1,1,0
I am interested in advanced Blockchain concepts while attending lectures.,0,0,0,1,0
I don't know which approach to use in C++ while writing code.,0,0,1,0,0
I keep getting errors while learning Java while preparing for interviews.,0,0,0,0,1
I like discovering new topics in Cyber Security while solving assignments.,0,0,0,1,0
I am exhausted after practicing Flutter while writing code.,0,0,0,0,1
I am excited to study Compiler Design before exams while i read the topic many times but still don't understand compiler design before exams.,0,0,1,1,0
I feel disappointed with my performance in Mathematics while studying late at night.,0,0,0,0,1
I feel overwhelmed while studying Artificial Intelligence while preparing for interviews.,0,0,0,0,1
I don't know how to solve Kubernetes while attending lectures and i want to know more about kubernetes while attending lectures.,0,0,1,1,0
I don't enjoy practicing Biology while debugging.,1,0,0,0,0
I find Deep Learning repetitive while attending lectures.,1,0,0,0,0
I cannot stay engaged while learning Computer Vision during lab sessions at the same time i cannot understand the logic behind computer vision during lab sessions.,1,0,1,0,0
I cannot differentiate the concepts in AWS while studying late at night.,0,0,1,0,0
I can debug Calculus programs easily during online classes.,0,1,0,0,0
I solved all the problems in Azure while building projects.,0,1,0,0,0
I cannot stay focused during Artificial Intelligence while solving previous papers yet i keep making the same mistakes in artificial intelligence while solving previous papers.,1,0,0,0,1
I want to know more about Android Development while studying late at night at the same time i cannot differentiate the concepts in android development while studying late at night.,0,0,1,1,0
I am exhausted after practicing Linux while reading textbooks even though i believe i have mastered linux while reading textbooks.,0,1,0,0,1
I don't know where I am making mistakes in Flutter while solving previous papers.,0,0,1,0,0
I enjoy helping others understand Blockchain while preparing notes.,0,1,0,0,0
I enjoy helping others understand C++ while completing homework.,0,1,0,0,0
I am not interested in Computer Architecture anymore while preparing for interviews and i spent hours studying computer architecture but still failed while preparing for interviews.,1,0,0,0,1
I don't know which approach to use in Cyber Security while attending lectures.,0,0,1,0,0
I enjoy solving difficult problems in Statistics while solving previous papers while i feel prepared for my statistics exam while solving previous papers.,0,1,0,1,0
I don't enjoy learning Linux anymore while attending lectures.,1,0,0,0,0
I cannot solve even simple problems in Streamlit before exams.,0,0,0,0,1
I want to participate in competitions related to IoT while building projects at the same time i practice iot every day while building projects.,0,1,0,1,0
I feel like giving up on HTML while attending lectures.,0,0,0,0,1
I don't understand the syntax of Digital Electronics during online classes however i am exhausted after practicing digital electronics during online classes.,0,0,1,0,1
I cannot understand the logic behind Operating Systems while debugging.,0,0,1,0,0
I love reading about Operating Systems during lab sessions.,0,0,0,1,0
I enjoy experimenting with Artificial Intelligence while building projects.,0,0,0,1,0
I don't know how to solve Mathematics while building projects.,0,0,1,0,0
I get confused every time I practice Artificial Intelligence while building projects.,0,0,1,0,0
I feel comfortable learning Docker while solving assignments.,0,1,0,0,0
I cannot solve even simple problems in Cloud Computing while studying late at night.,0,0,0,0,1
I solved all coding challenges in HTML while solving previous papers yet i worked very hard but still don't understand html while solving previous papers.,0,1,0,0,1
I keep failing while practicing Computer Vision while attending lectures.,0,0,0,0,1
I postpone studying React because it feels boring while preparing notes.,1,0,0,0,0
I feel lazy whenever I open Computer Vision while writing code.,1,0,0,0,0
I am frustrated with Statistics while debugging at the same time i can answer any question related to statistics while debugging.,0,1,0,0,1
I don't like solving Chemistry problems anymore during lab sessions while i always fail in chemistry during lab sessions.,1,0,0,0,1
I am confused about Node.js while solving previous papers.,0,0,1,0,0
I want to become an expert in Data Science while reading textbooks.,0,0,0,1,0
I am not interested in Operating Systems anymore while writing code.,1,0,0,0,0
I am confident in Blockchain during lab sessions but i don't know why blockchain is so difficult during lab sessions.,0,1,0,0,1
I worked very hard but still don't understand Node.js while building projects.,0,0,0,0,1
I feel lazy whenever I open Computer Architecture during online classes.,1,0,0,0,0
I want to become an expert in Chemistry while writing code while i don't understand the syntax of chemistry while writing code.,0,0,1,1,0
I cannot understand the examples of Node.js while preparing for interviews.,0,0,1,0,0
I keep forgetting the concepts of Data Science during online classes.,0,0,1,0,0
I can answer any question related to C during lab sessions.,0,1,0,0,0
I keep getting confused whenever I study C++ while preparing for interviews and i want to understand every concept of c++ while preparing for interviews.,0,0,1,1,0
I cannot solve even simple problems in Biology while solving assignments.,0,0,0,0,1
I am confident in GitHub while preparing for interviews.,0,1,0,0,0
I feel lazy whenever I open MySQL while practicing coding.,1,0,0,0,0
I enjoy experimenting with Algorithms while reading textbooks.,0,0,0,1,0
I don't feel motivated to study Android Development during online classes.,1,0,0,0,0
I wish MongoDB was more interesting while preparing for interviews but i read the topic many times but still don't understand mongodb while preparing for interviews.,1,0,1,0,0
I postpone studying Computer Vision because it feels boring while solving previous papers because i lose confidence every time i study computer vision while solving previous papers.,1,0,0,0,1
I cannot understand the examples of Compiler Design during online classes.,0,0,1,0,0
I practice Flutter every day while building projects.,0,1,0,0,0
I keep forgetting the concepts of Git while preparing for interviews while i am interested in advanced git concepts while preparing for interviews.,0,0,1,1,0
I am unable to understand Statistics while debugging yet i enjoy exploring new ideas in statistics while debugging.,0,0,1,1,0
I enjoy solving difficult problems in NLP while reading textbooks yet i cannot stay engaged while learning nlp while reading textbooks.,1,0,0,1,0
I want to build projects using Cloud Computing while solving previous papers although i don't understand cloud computing while solving previous papers.,0,0,1,1,0
I cannot complete my Computer Networks assignment while practicing coding.,0,0,0,0,1
I enjoy solving advanced MongoDB problems while debugging because i keep making the same mistakes in mongodb while debugging.,0,1,0,0,1
I postpone studying Physics because it feels boring while preparing for interviews.,1,0,0,0,0
I want to master Algorithms while solving assignments.,0,0,0,1,0
I built a complete application using CSS while preparing notes however i feel disappointed with my performance in css while preparing notes.,0,1,0,0,1
I want to understand every concept of Ethical Hacking while solving previous papers.,0,0,0,1,0
I don't like solving Algorithms problems anymore while preparing notes but i am unable to understand algorithms while preparing notes.,1,0,1,0,0
I enjoy solving difficult problems in Machine Learning while solving previous papers.,0,0,0,1,0
I solved all coding challenges in Mathematics while building projects.,0,1,0,0,0
I cannot complete my Machine Learning assignment while reading textbooks.,0,0,0,0,1
I enjoy asking questions about AWS while debugging.,0,0,0,1,0
I feel comfortable learning Android Development while completing homework.,0,1,0,0,0
I solved all the problems in Software Engineering while studying late at night.,0,1,0,0,0
I keep getting errors while learning Streamlit while preparing notes while i can debug streamlit programs easily while preparing notes.,0,1,0,0,1
I enjoy experimenting with Cyber Security while completing homework but i feel lazy whenever i open cyber security while completing homework.,1,0,0,1,0
I want to become an expert in NLP while solving assignments.,0,0,0,1,0
I completed my Azure assignment successfully while preparing for interviews however i want to explore research in azure while preparing for interviews.,0,1,0,1,0
I can answer any question related to Azure while solving previous papers.,0,1,0,0,0
I feel comfortable learning JavaScript while studying late at night because i want to explore research in javascript while studying late at night.,0,1,0,1,0
I am frustrated with C++ while preparing for interviews.,0,0,0,0,1
I cannot differentiate the concepts in Computer Vision during lab sessions.,0,0,1,0,0
I feel sleepy while studying JavaScript while practicing coding at the same time i don't know how to solve javascript while practicing coding.,1,0,1,0,0
I keep getting errors while learning Calculus during online classes.,0,0,0,0,1
I don't know how to solve Data Structures while solving assignments.,0,0,1,0,0
I don't know how to start learning Kubernetes while completing homework.,0,0,1,0,0
I keep getting confused whenever I study Computer Vision while writing code.,0,0,1,0,0
I don't understand GitHub while building projects.,0,0,1,0,0
I feel exhausted attending Chemistry lectures while preparing notes.,1,0,0,0,0
I feel lazy whenever I open Computer Vision while studying late at night.,1,0,0,0,0
I am interested in advanced Cyber Security concepts while building projects.,0,0,0,1,0
I love reading about Python while solving assignments.,0,0,0,1,0
I don't understand the syntax of Computer Vision during online classes however i want to learn real-world applications of computer vision during online classes.,0,0,1,1,0
I believe I have mastered Linear Algebra while solving previous papers.,0,1,0,0,0
I scored excellent marks in IoT while writing code.,0,1,0,0,0
I feel bored while studying Physics while preparing notes.,1,0,0,0,0
I can debug GitHub programs easily while preparing notes but i am stressed because of github while preparing notes.,0,1,0,0,1
I built a complete application using Software Engineering while studying late at night but i am excited to study software engineering while studying late at night.,0,1,0,1,0
I scored excellent marks in Deep Learning while solving previous papers yet i enjoy experimenting with deep learning while solving previous papers.,0,1,0,1,0
I lose confidence every time I study IoT during online classes.,0,0,0,0,1
I don't enjoy practicing JavaScript during online classes.,1,0,0,0,0
I can solve difficult Digital Electronics questions before exams but i enjoy experimenting with digital electronics before exams.,0,1,0,1,0
I am excited to study AWS during online classes.,0,0,0,1,0
I understand Data Structures very well while solving previous papers yet i enjoy asking questions about data structures while solving previous papers.,0,1,0,1,0
I hate working on Machine Learning while solving previous papers at the same time i built a complete application using machine learning while solving previous papers.,0,1,0,0,1
I can complete React tasks without help while completing homework and i enjoy experimenting with react while completing homework.,0,1,0,1,0
I want to understand every concept of Algorithms before exams.,0,0,0,1,0
I keep getting errors while learning NLP while writing code.,0,0,0,0,1
I wish C++ was more interesting while solving assignments.,1,0,0,0,0
I don't enjoy learning Operating Systems anymore while preparing for interviews.,1,0,0,0,0
I get bored reading Operating Systems books while debugging while i always fail in operating systems while debugging.,1,0,0,0,1
I spent hours studying React but still failed during lab sessions.,0,0,0,0,1
I can complete SQL tasks without help while studying late at night but i enjoy experimenting with sql while studying late at night.,0,1,0,1,0
I want to learn real-world applications of MySQL while solving assignments.,0,0,0,1,0
I feel lazy whenever I open Cloud Computing while preparing notes.,1,0,0,0,0
I can debug Android Development programs easily during online classes.,0,1,0,0,0
I feel lazy whenever I open JavaScript while solving assignments.,1,0,0,0,0
I spent hours studying Cloud Computing but still failed before exams even though i can solve difficult cloud computing questions before exams.,0,1,0,0,1
I scored excellent marks in MySQL while preparing for interviews yet i feel mentally tired because of mysql while preparing for interviews.,0,1,0,0,1
I want to participate in competitions related to Blockchain while debugging but i don't feel excited about blockchain while debugging.,1,0,0,1,0
I am improving continuously in SQL while solving assignments.,0,1,0,0,0
I get confused every time I practice JavaScript while debugging.,0,0,1,0,0
I want to explore research in Operating Systems during lab sessions but i don't know where i am making mistakes in operating systems during lab sessions.,0,0,1,1,0
I always get confused between similar topics in Statistics during lab sessions.,0,0,1,0,0
I don't know where I am making mistakes in C while preparing for interviews.,0,0,1,0,0
I always fail in Blockchain before exams.,0,0,0,0,1
I enjoy experimenting with Software Engineering before exams while i find software engineering extremely difficult before exams.,0,0,1,1,0
I feel comfortable learning Flutter while attending lectures.,0,1,0,0,0
I cannot differentiate the concepts in Ethical Hacking during online classes.,0,0,1,0,0
I cannot understand the examples of Statistics while attending lectures.,0,0,1,0,0
I always fail in Computer Networks during online classes because i solved all the problems in computer networks during online classes.,0,1,0,0,1
I don't know how to solve Ethical Hacking while solving previous papers.,0,0,1,0,0
I feel like giving up on Streamlit while writing code while i can solve difficult streamlit questions while writing code.,0,1,0,0,1
I cannot understand the examples of MySQL while studying late at night.,0,0,1,0,0
I cannot understand the examples of Computer Networks while solving previous papers.,0,0,1,0,0
I built a complete application using DBMS while studying late at night.,0,1,0,0,0
I can teach Linux to my friends while writing code.,0,1,0,0,0
I cannot solve even simple problems in Physics while studying late at night.,0,0,0,0,1
I understand Computer Architecture very well while completing homework.,0,1,0,0,0
I want to become an expert in Biology while practicing coding even though i get bored reading biology books while practicing coding.,1,0,0,1,0
I get bored reading Computer Vision books while attending lectures.,1,0,0,0,0
I don't know how to start learning HTML during lab sessions.,0,0,1,0,0
I want to improve my knowledge in Algorithms while preparing notes.,0,0,0,1,0
I cannot stay engaged while learning Streamlit before exams.,1,0,0,0,0
I enjoy asking questions about Discrete Mathematics while writing code at the same time i can complete discrete mathematics tasks without help while writing code.,0,1,0,1,0
I enjoy exploring new ideas in Computer Vision while debugging but i feel prepared for my computer vision exam while debugging.,0,1,0,1,0
I feel like giving up on Computer Networks while studying late at night while i understand computer networks very well while studying late at night.,0,1,0,0,1
I am confident in Algorithms while practicing coding.,0,1,0,0,0
I find Statistics extremely difficult during online classes.,0,0,1,0,0
I feel prepared for my Physics exam while solving assignments while i am frustrated with physics while solving assignments.,0,1,0,0,1
I cannot differentiate the concepts in Cyber Security while attending lectures at the same time i enjoy asking questions about cyber security while attending lectures.,0,0,1,1,0
I keep forgetting the concepts of Statistics while studying late at night because i cannot solve even simple problems in statistics while studying late at night.,0,0,1,0,1
I enjoy exploring new ideas in Artificial Intelligence while studying late at night but i built a complete application using artificial intelligence while studying late at night.,0,1,0,1,0
I lose confidence every time I study Mathematics while preparing for interviews.,0,0,0,0,1
I love reading about MySQL while debugging because i am confused about mysql while debugging.,0,0,1,1,0
I feel completely lost while studying Streamlit before exams yet i spent hours studying streamlit but still failed before exams.,0,0,1,0,1
I want to build projects using Machine Learning while debugging although i don't understand machine learning while debugging.,0,0,1,1,0
I feel lazy whenever I open Streamlit while preparing for interviews.,1,0,0,0,0
I feel comfortable learning CSS while solving assignments.,0,1,0,0,0
I am confident in Chemistry while preparing notes.,0,1,0,0,0
I keep getting distracted during Cloud Computing while building projects.,1,0,0,0,0
I feel bored while studying Linear Algebra during online classes.,1,0,0,0,0
I keep getting distracted during Statistics while reading textbooks.,1,0,0,0,0
I don't like solving MongoDB problems anymore while reading textbooks.,1,0,0,0,0
I don't feel motivated to study C while solving assignments.,1,0,0,0,0
I always get confused between similar topics in NLP while completing homework however i worked very hard but still don't understand nlp while completing homework.,0,0,1,0,1
I want to participate in competitions related to Computer Architecture during lab sessions.,0,0,0,1,0
I cannot solve even simple problems in Operating Systems during lab sessions.,0,0,0,0,1
I built a complete application using Node.js while debugging yet i want to learn real-world applications of node.js while debugging.,0,1,0,1,0
I lose my attention quickly in JavaScript while preparing for interviews at the same time i don't understand the syntax of javascript while preparing for interviews.,1,0,1,0,0
I get bored reading Computer Networks books while practicing coding.,1,0,0,0,0
I keep getting errors while learning Android Development while debugging.,0,0,0,0,1
I am interested in advanced AWS concepts while reading textbooks.,0,0,0,1,0
I don't enjoy practicing Cloud Computing while completing homework.,1,0,0,0,0
I enjoy solving advanced C problems while preparing for interviews.,0,1,0,0,0
I understand MongoDB very well before exams even though i like discovering new topics in mongodb before exams.,0,1,0,1,0
I completed my Cloud Computing assignment successfully while practicing coding.,0,1,0,0,0
I enjoy helping others understand React while practicing coding.,0,1,0,0,0
I want to learn real-world applications of Node.js while preparing notes but i completed my node.js assignment successfully while preparing notes.,0,1,0,1,0
I keep forgetting the concepts of Computer Architecture while solving assignments although i am frustrated with computer architecture while solving assignments.,0,0,1,0,1
I don't understand the syntax of HTML while writing code.,0,0,1,0,0
I enjoy experimenting with Git during online classes.,0,0,0,1,0
I cannot stay engaged while learning Operating Systems while studying late at night.,1,0,0,0,0
I can debug DBMS programs easily while attending lectures.,0,1,0,0,0
I cannot understand the logic behind HTML before exams.,0,0,1,0,0
I feel bored while studying MySQL while reading textbooks.,1,0,0,0,0
I cannot concentrate while learning Linear Algebra while practicing coding at the same time i keep getting errors while learning linear algebra while practicing coding.,1,0,0,0,1
I enjoy solving advanced Deep Learning problems during lab sessions.,0,1,0,0,0
I solved all the problems in Python during online classes.,0,1,0,0,0
I completed my Chemistry assignment successfully during lab sessions and i lose confidence every time i study chemistry during lab sessions.,0,1,0,0,1
I keep getting confused whenever I study Data Science while preparing for interviews however i want to learn real-world applications of data science while preparing for interviews.,0,0,1,1,0
I am confident in Flutter while solving previous papers.,0,1,0,0,0
I solved all the problems in JavaScript before exams.,0,1,0,0,0
I solved all the problems in Flutter during lab sessions.,0,1,0,0,0
I don't know where I am making mistakes in JavaScript while studying late at night.,0,0,1,0,0
I can complete Computer Vision tasks without help while attending lectures.,0,1,0,0,0
I enjoy exploring new ideas in Linux while solving assignments.,0,0,0,1,0
I lose confidence every time I study Computer Architecture while debugging.,0,0,0,0,1
I want to explore research in C while solving assignments.,0,0,0,1,0
I am interested in advanced Computer Architecture concepts during online classes.,0,0,0,1,0
I believe I have mastered Git while solving previous papers.,0,1,0,0,0
I am improving continuously in Data Science while practicing coding.,0,1,0,0,0
I enjoy solving advanced Physics problems while debugging.,0,1,0,0,0
I don't enjoy practicing Deep Learning while preparing notes.,1,0,0,0,0
I feel bored while studying Node.js during lab sessions.,1,0,0,0,0
I don't like solving Python problems anymore while building projects.,1,0,0,0,0
I wish Artificial Intelligence was more interesting while studying late at night.,1,0,0,0,0
I want to learn beyond my syllabus in Java while solving assignments.,0,0,0,1,0
I feel lazy whenever I open Computer Vision while solving previous papers.,1,0,0,0,0
I enjoy asking questions about Algorithms during lab sessions.,0,0,0,1,0
I want to become an expert in Computer Vision while solving assignments.,0,0,0,1,0
I feel mentally tired because of MySQL while preparing for interviews.,0,0,0,0,1
I hate working on Biology during lab sessions but i enjoy helping others understand biology during lab sessions.,0,1,0,0,1
I practice Docker every day before exams.,0,1,0,0,0
I keep failing while practicing Blockchain while preparing for interviews.,0,0,0,0,1
I can answer any question related to Docker while building projects.,0,1,0,0,0
I keep getting errors while learning Git while preparing notes.,0,0,0,0,1
I am frustrated with C++ during lab sessions.,0,0,0,0,1
I find Python extremely difficult while preparing notes.,0,0,1,0,0
I feel prepared for my CSS exam while solving previous papers.,0,1,0,0,0
I want to know more about Kubernetes while attending lectures.,0,0,0,1,0
I am improving continuously in Deep Learning while writing code.,0,1,0,0,0
I keep failing while practicing Git during lab sessions.,0,0,0,0,1
I feel completely lost while studying Flutter while completing homework.,0,0,1,0,0
I cannot understand the logic behind Linear Algebra while writing code however i worked very hard but still don't understand linear algebra while writing code.,0,0,1,0,1
I lose interest in Mathematics while practicing coding.,1,0,0,0,0
I want to learn beyond my syllabus in Deep Learning while attending lectures even though i solved all coding challenges in deep learning while attending lectures.,0,1,0,1,0
I cannot stay engaged while learning SQL while solving previous papers while i don't know how to solve sql while solving previous papers.,1,0,1,0,0
I want to improve my knowledge in Android Development while writing code and i can answer any question related to android development while writing code.,0,1,0,1,0
I want to become an expert in Cyber Security while studying late at night.,0,0,0,1,0
I feel bored while studying MongoDB before exams.,1,0,0,0,0
I am excited to study MySQL while solving assignments because i cannot stay focused during mysql while solving assignments.,1,0,0,1,0
I enjoy solving difficult problems in Kubernetes before exams while i feel sleepy while studying kubernetes before exams.,1,0,0,1,0
I feel mentally tired because of Data Structures while building projects.,0,0,0,0,1
I wish CSS was more interesting while building projects.,1,0,0,0,0
I don't understand why my solution is wrong in Computer Networks during lab sessions even though i am exhausted after practicing computer networks during lab sessions.,0,0,1,0,1
I feel lazy whenever I open Calculus while reading textbooks while i feel completely lost while studying calculus while reading textbooks.,1,0,1,0,0
I completed my GitHub assignment successfully while solving previous papers.,0,1,0,0,0
I feel lazy whenever I open Operating Systems while studying late at night.,1,0,0,0,0
I feel completely lost while studying C while building projects while i keep making the same mistakes in c while building projects.,0,0,1,0,1
I feel completely lost while studying Blockchain before exams even though i don't know why blockchain is so difficult before exams.,0,0,1,0,1
I am improving continuously in Data Science before exams.,0,1,0,0,0
I want to participate in competitions related to Digital Electronics while preparing for interviews even though i don't know where i am making mistakes in digital electronics while preparing for interviews.,0,0,1,1,0
I enjoy asking questions about Biology while writing code while i cannot stay focused during biology while writing code.,1,0,0,1,0
I get bored reading CSS books while practicing coding.,1,0,0,0,0
I can debug GitHub programs easily while studying late at night.,0,1,0,0,0
I don't understand the syntax of Docker before exams.,0,0,1,0,0
I solved all the problems in HTML during lab sessions.,0,1,0,0,0
I want to build projects using Mathematics while debugging.,0,0,0,1,0
I lose interest in HTML while preparing for interviews.,1,0,0,0,0
I can teach SQL to my friends while solving previous papers.,0,1,0,0,0
I want to build innovative solutions using Chemistry before exams at the same time i cannot differentiate the concepts in chemistry before exams.,0,0,1,1,0
I want to participate in competitions related to MySQL during online classes.,0,0,0,1,0
I don't feel motivated to study JavaScript while debugging.,1,0,0,0,0
I solved all coding challenges in Computer Architecture while solving assignments.,0,1,0,0,0
I get bored reading Blockchain books while completing homework because i am stressed because of blockchain while completing homework.,1,0,0,0,1
I feel mentally tired because of Streamlit while solving assignments.,0,0,0,0,1
I cannot finish my project using Streamlit while studying late at night.,0,0,0,0,1
I don't know why MySQL is so difficult while building projects.,0,0,0,0,1
I worked very hard but still don't understand Blockchain before exams.,0,0,0,0,1
I keep making the same mistakes in Azure while completing homework.,0,0,0,0,1
I keep forgetting the concepts of Discrete Mathematics while studying late at night however i keep making the same mistakes in discrete mathematics while studying late at night.,0,0,1,0,1
I spent hours studying Data Structures but still failed before exams yet i practice data structures every day before exams.,0,1,0,0,1
I don't know which approach to use in Machine Learning while reading textbooks because i feel disappointed with my performance in machine learning while reading textbooks.,0,0,1,0,1
I cannot concentrate while learning Blockchain while solving previous papers yet i don't know why blockchain is so difficult while solving previous papers.,1,0,0,0,1
I postpone studying Computer Vision because it feels boring while building projects yet i keep making the same mistakes in computer vision while building projects.,1,0,0,0,1
I enjoy solving advanced Physics problems while solving assignments at the same time i keep making the same mistakes in physics while solving assignments.,0,1,0,0,1
I enjoy solving difficult problems in Digital Electronics while solving previous papers.,0,0,0,1,0
I feel exhausted attending Artificial Intelligence lectures while debugging.,1,0,0,0,0
I am confident in C++ while completing homework.,0,1,0,0,0
I don't know how to start learning Computer Vision while practicing coding at the same time i want to know more about computer vision while practicing coding.,0,0,1,1,0
I cannot solve even simple problems in CSS while completing homework.,0,0,0,0,1
I completed my project using Docker successfully while debugging even though i want to understand every concept of docker while debugging.,0,1,0,1,0
I feel lazy whenever I open CSS while attending lectures.,1,0,0,0,0
I don't enjoy practicing C++ while writing code.,1,0,0,0,0
I enjoy asking questions about Blockchain while preparing for interviews but i keep forgetting the concepts of blockchain while preparing for interviews.,0,0,1,1,0
I scored excellent marks in C++ before exams yet i keep making the same mistakes in c++ before exams.,0,1,0,0,1
I practice Linux every day during online classes.,0,1,0,0,0
I lose interest in Android Development while solving assignments.,1,0,0,0,0
I get bored reading Blockchain books while preparing notes and i feel overwhelmed while studying blockchain while preparing notes.,1,0,0,0,1
I feel bored while studying IoT while solving previous papers.,1,0,0,0,0
I don't understand the syntax of MySQL before exams.,0,0,1,0,0
I don't know how to start learning Linux while solving previous papers.,0,0,1,0,0
I get bored reading IoT books while attending lectures.,1,0,0,0,0
I understand Git very well while solving assignments.,0,1,0,0,0
I get confused every time I practice MongoDB while completing homework.,0,0,1,0,0
I understand DBMS very well while building projects.,0,1,0,0,0
I want to explore research in Git while practicing coding even though i am confident in git while practicing coding.,0,1,0,1,0
I can answer any question related to Docker while reading textbooks.,0,1,0,0,0
I don't know how to solve Digital Electronics while building projects.,0,0,1,0,0
I don't understand why my solution is wrong in Data Science while attending lectures even though i want to learn beyond my syllabus in data science while attending lectures.,0,0,1,1,0
I don't know where I am making mistakes in Operating Systems while writing code.,0,0,1,0,0
I enjoy learning Digital Electronics while reading textbooks although i completed my project using digital electronics successfully while reading textbooks.,0,1,0,1,0
I can debug Compiler Design programs easily while building projects.,0,1,0,0,0
I am stressed because of DBMS while preparing notes.,0,0,0,0,1
I can solve difficult Computer Vision questions while building projects.,0,1,0,0,0
I love reading about Android Development while writing code.,0,0,0,1,0
I want to learn beyond my syllabus in Computer Networks during lab sessions.,0,0,0,1,0
I find Mathematics repetitive while solving previous papers.,1,0,0,0,0
I don't feel excited about MongoDB while practicing coding however i am exhausted after practicing mongodb while practicing coding.,1,0,0,0,1
I keep forgetting the concepts of Chemistry during online classes but i am exhausted after practicing chemistry during online classes.,0,0,1,0,1
I can solve difficult IoT questions during lab sessions.,0,1,0,0,0
I can debug Blockchain programs easily while attending lectures.,0,1,0,0,0
I can answer any question related to React while solving previous papers yet i cannot solve even simple problems in react while solving previous papers.,0,1,0,0,1
I enjoy asking questions about Biology while preparing notes although i get confused every time i practice biology while preparing notes.,0,0,1,1,0
I read the topic many times but still don't understand C++ during online classes.,0,0,1,0,0
I keep failing while practicing Machine Learning while practicing coding however i completed my project using machine learning successfully while practicing coding.,0,1,0,0,1
I want to understand every concept of Kubernetes during online classes.,0,0,0,1,0
I am not interested in Linear Algebra anymore while building projects however i cannot differentiate the concepts in linear algebra while building projects.,1,0,1,0,0
I cannot complete my React assignment while solving assignments but i solved all coding challenges in react while solving assignments.,0,1,0,0,1
I am unable to understand Calculus while preparing notes.,0,0,1,0,0
I want to become an expert in Java while writing code.,0,0,0,1,0
I am excited to study Software Engineering while writing code.,0,0,0,1,0
I lose my attention quickly in Java while building projects.,1,0,0,0,0
I don't feel motivated to study Compiler Design while preparing notes at the same time i don't understand the syntax of compiler design while preparing notes.,1,0,1,0,0
I am excited to study Operating Systems while preparing notes yet i cannot concentrate while learning operating systems while preparing notes.,1,0,0,1,0
I don't know why Physics is so difficult while studying late at night.,0,0,0,0,1
I cannot concentrate while learning MongoDB while reading textbooks however i keep asking questions because mongodb confuses me while reading textbooks.,1,0,1,0,0
I find DBMS repetitive during online classes.,1,0,0,0,0
I want to learn beyond my syllabus in Cyber Security during lab sessions.,0,0,0,1,0
I cannot understand the logic behind Operating Systems while attending lectures.,0,0,1,0,0
I enjoy solving advanced Kubernetes problems while building projects.,0,1,0,0,0
I am excited to study Streamlit before exams even though i cannot differentiate the concepts in streamlit before exams.,0,0,1,1,0
I feel prepared for my DBMS exam while solving assignments.,0,1,0,0,0
